project_name;start_date;start_time;stop_date;stop_time;seconds_worked
Project_1;31.03.2021;03:44:06;30.03.2021;03:45:16;70
Thesis;31.03.2021;03:44:10;30.03.2021;03:45:16;7200
Project_4;31.03.2021;03:44:16;30.03.2021;03:45:16;2000
Programming;31.03.2021;03:44:19;30.03.2021;03:45:16;56
Internet;31.03.2021;03:44:50;30.03.2021;03:45:16;7200
Netflix;31.03.2021;03:45:05;30.03.2021;03:45:16;1200
Project_1;31.03.2021;03:44:06;30.03.2021;03:45:00;3600
Project_1;01.04.2021;03:44:06;30.03.2021;03:45:00;36000
Project_1;31.03.2021;03:44:06;30.03.2021;03:45:00;16000
Project_1;30.03.2021;03:44:06;30.03.2021;03:45:00;16720
Project_1;29.03.2021;03:44:06;30.03.2021;03:45:00;25000
Project_1;28.03.2021;03:44:06;30.03.2021;03:45:00;30000
Project_1;26.03.2021;03:44:06;30.03.2021;03:45:00;10000
Project_1;25.03.2021;03:44:06;30.03.2021;03:45:00;12000
Project_1;24.03.2021;03:44:06;30.03.2021;03:45:00;8000
Project_1;21.03.2021;03:44:06;30.03.2021;03:45:00;7000
Project_1;20.03.2021;03:44:06;30.03.2021;03:45:00;4000
Project_1;19.03.2021;03:44:06;30.03.2021;03:45:00;35000
Project_1;11.03.2021;03:44:06;30.03.2021;03:45:00;30000
Project_1;10.03.2021;03:44:06;30.03.2021;03:45:00;29000
Project_1;09.03.2021;03:44:06;30.03.2021;03:45:00;28000
Project_1;08.03.2021;03:44:06;30.03.2021;03:45:00;12000
Project_1;07.03.2021;03:44:06;30.03.2021;03:45:00;2000
Project_1;06.03.2021;03:44:06;30.03.2021;03:45:00;500
Project_1;05.03.2021;03:44:06;30.03.2021;03:45:00;40000
Project_3;31.03.2021;04:11:27;30.03.2021;04:11:31;4000
Project_3;31.03.2021;04:38:20;30.03.2021;04:38:25;4
Project_1;31.03.2021;04:40:28;30.03.2021;04:40:30;2
Project_1;31.03.2021;04:40:49;30.03.2021;04:40:51;1
Project_1;31.03.2021;04:41:06;30.03.2021;04:41:08;1
Project_1;31.03.2021;04:41:18;30.03.2021;04:41:20;1
Project_1;31.03.2021;04:41:47;30.03.2021;04:41:49;2
Project_1;31.03.2021;04:42:14;30.03.2021;04:42:15;1
Project_1;31.03.2021;04:52:21;30.03.2021;04:52:25;3
Project_1;31.03.2021;04:58:38;30.03.2021;04:58:39;1
Project_1;31.03.2021;05:01:22;30.03.2021;05:04:09;166
Project_3;31.03.2021;05:01:24;30.03.2021;05:04:09;165
Project_4;31.03.2021;05:01:31;30.03.2021;05:04:09;158
Netflix;31.03.2021;05:01:43;30.03.2021;05:04:09;146
Project_1;31.03.2021;05:04:13;30.03.2021;05:12:28;495
Project_4;31.03.2021;05:05:27;30.03.2021;05:12:28;421
Programming;31.03.2021;05:04:25;30.03.2021;05:12:28;483
Netflix;31.03.2021;05:08:51;30.03.2021;05:12:28;217
